s_true,E,B,s_hat,rel_bias,abs_bias,recovered,realistic
0.2,600000.0,1.219,0.17656636946005558,-11.716815269972217,-0.023433630539944433,False,False
0.3,600000.0,1.219,0.26526613795824777,-11.577954013917406,-0.03473386204175222,False,False
0.4,600000.0,1.219,0.33531632408400425,-16.170918978998944,-0.06468367591599578,False,False
0.5,600000.0,1.219,0.4303154800832645,-13.936903983347104,-0.06968451991673552,False,False
0.6,600000.0,1.219,0.4766088120945943,-20.565197984234278,-0.12339118790540565,False,False
0.7,600000.0,1.219,0.5810959419531657,-16.986294006690606,-0.11890405804683424,False,False
0.8,600000.0,1.219,0.6756792795546023,-15.540090055674721,-0.12432072044539777,False,False
0.9,600000.0,1.219,0.7931055057876795,-11.877166023591172,-0.10689449421232056,False,False
1.0,600000.0,1.219,0.8626820191370562,-13.731798086294377,-0.13731798086294378,False,False
0.1,600000.0,1.857,0.08943066434744751,-10.569335652552498,-0.010569335652552497,False,True
0.2,600000.0,1.857,0.18353374350671417,-8.23312824664292,-0.01646625649328584,True,True
0.3,600000.0,1.857,0.27591113025172026,-8.029623249426576,-0.02408886974827973,True,True
0.4,600000.0,1.857,0.35597060556994764,-11.007348607513096,-0.04402939443005238,False,True
0.5,600000.0,1.857,0.4551587902179492,-8.96824195641016,-0.044841209782050806,True,True
0.6,600000.0,1.857,0.5513332028365429,-8.111132860576188,-0.04866679716345712,True,True
0.7,600000.0,1.857,0.6239571455540445,-10.863264920850785,-0.07604285444595549,False,True
0.8,600000.0,1.857,0.7217055370484702,-9.786807868941233,-0.07829446295152986,True,True
0.9,600000.0,1.857,0.7911529576490305,-12.094115816774393,-0.10884704235096954,False,True
1.0,600000.0,1.857,0.8649297311543254,-13.507026884567463,-0.13507026884567463,False,True
0.1,600000.0,2.828,0.09616951825061915,-3.8304817493808594,-0.0038304817493808596,True,True
0.2,600000.0,2.828,0.19158274733423392,-4.208626332883048,-0.008417252665766095,True,True
0.3,600000.0,2.828,0.29510692349494844,-1.6310255016838509,-0.004893076505051552,True,True
0.4,600000.0,2.828,0.39446861096191743,-1.3828472595206476,-0.00553138903808259,True,True
0.5,600000.0,2.828,0.46408200060313387,-7.183599879373226,-0.03591799939686613,True,True
0.6,600000.0,2.828,0.5527889019109224,-7.868516348179588,-0.04721109808907753,True,True
0.7,600000.0,2.828,0.673558373145196,-3.777375264972,-0.026441626854804,True,True
0.8,600000.0,2.828,0.7840683097874013,-1.9914612765748463,-0.01593169021259877,True,True
0.9,600000.0,2.828,0.864780689046135,-3.9132567726516654,-0.03521931095386499,True,True
1.0,600000.0,2.828,0.9618689668381541,-3.813103316184585,-0.03813103316184585,True,True
0.1,600000.0,4.309,0.10430196695717035,4.301966957170348,0.004301966957170347,True,True
0.2,600000.0,4.309,0.2179398812344343,8.969940617217148,0.017939881234434296,True,True
0.3,600000.0,4.309,0.31163737884064724,3.87912628021575,0.01163737884064725,True,True
0.4,600000.0,4.309,0.40070057843570595,0.17514460892648076,0.000700578435705923,True,True
0.5,600000.0,4.309,0.5255908981597107,5.1181796319421435,0.025590898159710718,True,True
0.6,600000.0,4.309,0.5581500325394788,-6.974994576753528,-0.041849967460521165,True,True
0.7,600000.0,4.309,0.7473096143779289,6.758516339704131,0.04730961437792891,True,True
0.8,600000.0,4.309,0.7967808993626214,-0.4023875796723281,-0.0032191006373786246,True,True
0.9,600000.0,4.309,0.9580554884079526,6.450609823105845,0.058055488407952605,True,True
1.0,600000.0,4.309,0.999,-0.10000000000000009,-0.0010000000000000009,True,True
0.1,600000.0,6.564,0.11663014107043038,16.63014107043037,0.01663014107043037,False,True
0.2,600000.0,6.564,0.2346560534230243,17.328026711512152,0.0346560534230243,False,True
0.3,600000.0,6.564,0.3226701599086198,7.556719969539937,0.022670159908619814,True,True
0.4,600000.0,6.564,0.4485001124736469,12.125028118411722,0.048500112473646884,False,True
0.5,600000.0,6.564,0.5420829615873468,8.416592317469362,0.04208296158734681,True,True
0.6,600000.0,6.564,0.6918969277619548,15.316154626992468,0.0918969277619548,False,True
0.7,600000.0,6.564,0.7121370669247385,1.7338667035340847,0.012137066924738593,True,True
0.8,600000.0,6.564,0.8606894894997691,7.586186187471131,0.060689489499769045,True,True
0.9,600000.0,6.564,0.9863604533682312,9.595605929803463,0.08636045336823117,True,True
1.0,600000.0,6.564,0.999,-0.10000000000000009,-0.0010000000000000009,True,True
0.1,600000.0,10.0,0.12509769279933136,25.097692799331355,0.025097692799331356,False,False
0.2,600000.0,10.0,0.2507641258333863,25.382062916693148,0.0507641258333863,False,False
0.3,600000.0,10.0,0.34720457556415535,15.73485852138512,0.04720457556415536,False,False
0.4,600000.0,10.0,0.45364878340017994,13.41219585004498,0.05364878340017992,False,False
0.5,600000.0,10.0,0.5651379936613181,13.027598732263623,0.06513799366131812,False,False
0.6,600000.0,10.0,0.6771340415344631,12.855673589077188,0.07713404153446313,False,False
0.7,600000.0,10.0,0.8975385884863762,28.219798355196613,0.1975385884863763,False,False
0.8,600000.0,10.0,0.9458098894868927,18.226236185861584,0.14580988948689266,False,False
0.9,600000.0,10.0,0.999,10.999999999999996,0.09899999999999998,False,False
1.0,600000.0,10.0,0.999,-0.10000000000000009,-0.0010000000000000009,True,False
0.1,733333.3333333334,0.8,0.08662737042169327,-13.372629578306732,-0.013372629578306733,False,False
0.2,733333.3333333334,0.8,0.16907597577880953,-15.46201211059524,-0.030924024221190477,False,False
0.3,733333.3333333334,0.8,0.2521091632481557,-15.963612250614768,-0.0478908367518443,False,False
0.4,733333.3333333334,0.8,0.3341745462614854,-16.456363434628653,-0.06582545373851462,False,False
0.5,733333.3333333334,0.8,0.4192693507155509,-16.146129856889825,-0.08073064928444912,False,False
0.6,733333.3333333334,0.8,0.5206512947905094,-13.22478420158176,-0.07934870520949056,False,False
0.7,733333.3333333334,0.8,0.567410375149336,-18.94137497866628,-0.13258962485066395,False,False
0.8,733333.3333333334,0.8,0.6519625039146446,-18.50468701066943,-0.14803749608535544,False,False
0.9,733333.3333333334,0.8,0.7434724527002574,-17.391949699971402,-0.1565275472997426,False,False
1.0,733333.3333333334,0.8,0.8599268375792861,-14.007316242071388,-0.14007316242071388,False,False
0.1,733333.3333333334,1.219,0.08656981680918467,-13.430183190815335,-0.013430183190815334,False,False
0.2,733333.3333333334,1.219,0.17286964304117852,-13.565178479410744,-0.02713035695882149,False,False
0.3,733333.3333333334,1.219,0.25695234449357907,-14.34921850214031,-0.04304765550642092,False,False
0.4,733333.3333333334,1.219,0.3546576644907833,-11.335583877304185,-0.045342335509216736,False,False
0.5,733333.3333333334,1.219,0.4515576090597038,-9.688478188059236,-0.048442390940296176,True,False
0.6,733333.3333333334,1.219,0.5439625994303969,-9.339566761600508,-0.056037400569603046,True,False
0.7,733333.3333333334,1.219,0.6156220916128821,-12.053986912445415,-0.0843779083871179,False,False
0.8,733333.3333333334,1.219,0.6717852495725714,-16.026843803428587,-0.1282147504274287,False,False
0.9,733333.3333333334,1.219,0.8414755894866361,-6.502712279262653,-0.05852441051336388,True,False
