s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.28,0.6,0.15,5.0,316.09231264423283,0.05624618008670125,1
0.28,0.6,0.15,6.63,319.28169879229847,0.05596454628961024,1
0.28,0.8,0.01,0.6,8.520979893565999,0.3425746555564011,0
0.28,0.8,0.01,1.5,13.401191959884569,0.2731670332158341,0
0.28,0.8,0.01,3.0,31.22793487586177,0.17894862573413808,0
0.28,0.8,0.01,5.0,85.08478142307926,0.10841117618560826,1
0.28,0.8,0.01,6.63,127.8175379161538,0.08845141321379983,1
0.28,0.8,0.03,0.6,25.044575985165032,0.19982193414781294,0
0.28,0.8,0.03,1.5,38.26259504822836,0.16166380236674438,0
0.28,0.8,0.03,3.0,78.14790383605157,0.11312050448665284,1
0.28,0.8,0.03,5.0,143.01186236482152,0.083620732752219,1
0.28,0.8,0.03,6.63,167.58422540740912,0.07724732191526677,1
0.28,0.8,0.05,0.6,40.89571672666935,0.1563727551227887,0
0.28,0.8,0.05,1.5,60.80378753137849,0.12824329961954997,1
0.28,0.8,0.05,3.0,111.87449473300006,0.09454410534693447,1
0.28,0.8,0.05,5.0,169.06862487030557,0.07690746381934646,1
0.28,0.8,0.05,6.63,184.76459152357484,0.0735682841298484,1
0.28,0.8,0.1,0.6,77.72064957195914,0.11343100740465517,1
0.28,0.8,0.1,1.5,108.71386738013004,0.09590859462668769,1
0.28,0.8,0.1,3.0,166.11014881064824,0.07758931475894623,1
0.28,0.8,0.1,5.0,201.8487019613255,0.07038611901902705,1
0.28,0.8,0.1,6.63,207.34031924533122,0.06944774020150818,1
0.28,0.8,0.15,0.6,110.78611305113016,0.0950073790210407,1
0.28,0.8,0.15,1.5,147.02372394896372,0.08247195518518101,1
0.28,0.8,0.15,3.0,198.80893093966475,0.07092217650064814,1
0.28,0.8,0.15,5.0,219.50590656807947,0.06749582258330038,1
0.28,0.8,0.15,6.63,220.29136386091275,0.06737538566189792,1
0.28,1.0,0.01,0.6,5.766609242194697,0.4164278226324966,0
0.28,1.0,0.01,1.5,9.085536593497295,0.33176052456406346,0
0.28,1.0,0.01,3.0,21.36064465827652,0.2163678961687838,0
0.28,1.0,0.01,5.0,60.34593420383111,0.12872888054454315,1
0.28,1.0,0.01,6.63,93.33816120814194,0.10350715686671187,1
0.28,1.0,0.03,0.6,16.986660613338938,0.24263083626265963,0
0.28,1.0,0.03,1.5,26.082442797353742,0.19580594257677256,0
0.28,1.0,0.03,3.0,54.38725151221177,0.13559742550625417,1
0.28,1.0,0.03,5.0,103.81682888641126,0.09814453471499629,1
0.28,1.0,0.03,6.63,122.5333038916323,0.09033851102717108,1
0.28,1.0,0.05,0.6,27.799025481339655,0.18966413478470548,0
0.28,1.0,0.05,1.5,41.656912833399446,0.15493746972068245,0
0.28,1.0,0.05,3.0,78.78542828398326,0.11266189447951672,1
0.28,1.0,0.05,5.0,123.36536427446677,0.09003334324233815,1
0.28,1.0,0.05,6.63,134.92272893329786,0.08609093840027454,1
0.28,1.0,0.1,0.6,53.12010687481218,0.13720518696215803,1
0.28,1.0,0.1,1.5,75.306031082331,0.11523518951483107,1
0.28,1.0,0.1,3.0,119.01345197481388,0.0916646688794097,1
0.28,1.0,0.1,5.0,147.60063522759555,0.08231062260046504,1
0.28,1.0,0.1,6.63,150.89379123370227,0.08140748067509831,1
0.28,1.0,0.15,0.6,76.12986350461357,0.11460998994616056,1
0.28,1.0,0.15,1.5,102.79465130405099,0.09863129632634199,1
0.28,1.0,0.15,3.0,143.72360953037887,0.08341342273740664,1
0.28,1.0,0.15,5.0,160.43818147219864,0.0789489093271745,1
0.28,1.0,0.15,6.63,160.00880498685837,0.07905476629607786,1
0.46,0.0,0.01,0.6,122.92061143212764,0.09019607604029539,1
0.46,0.0,0.01,1.5,259.87672372299903,0.0620320749675229,1
0.46,0.0,0.01,3.0,710.0775877288794,0.03752728084573668,1
0.46,0.0,0.01,5.0,1119.0683251280893,0.02989315116733917,1
0.46,0.0,0.01,6.63,1270.6566588249843,0.028053425030047884,1
0.46,0.0,0.03,0.6,346.93775964074797,0.05368762782059237,1
0.46,0.0,0.03,1.5,626.1125059131605,0.039964447266895686,1
0.46,0.0,0.03,3.0,1096.2199511244544,0.0302030741615549,1
0.46,0.0,0.03,5.0,1362.1607999064236,0.027094791350094113,1
0.46,0.0,0.03,6.63,1466.8918986325277,0.02610964367723458,1
0.46,0.0,0.05,0.6,545.4336649075574,0.04281826149972177,1
0.46,0.0,0.05,1.5,877.9474017656445,0.033749376278078516,1
