scenario,axis,s_true,h_true,s_inf,h_inf,s_err,h_err,s_lo,s_hi,h_lo,h_hi,s_in_ci,h_in_ci,h_ci_width,h_overlap_010,h_mass_015,h_entropy,rho,fisher_h,cr_bound_h,elapsed_s,status
n_tps=2 (worst),n_tps,0.3,1.0,0.01,1.0,-0.29,0.0,0.01,0.10234963087309323,0.03580864658908559,0.9479232153200763,0,0,0.9121145687309907,0.24038602322400895,0.1356538475266934,0.9999479176910665,0.11461549863791239,22.760547100058652,0.20960838482932231,0.33523275000000297,ok
n_tps=2 (worst),n_tps,0.6,0.0,0.6181355932203391,0.5189873417721519,0.018135593220339086,0.5189873417721519,0.5236119411495584,0.7016482952966525,0.02792009297891744,0.9420165284119856,1,0,0.9140964354330682,0.2799440338233861,0.16658852022239767,0.9987197508791239,0.40197934727163587,152.08994950007866,0.0810867216465028,0.3393796669999958,ok
n_tps=2 (worst),n_tps,0.6,0.3,0.4661016949152543,0.37974683544303794,-0.13389830508474565,0.07974683544303796,0.3662538114805132,0.5159297928869742,0.030452499824280374,0.9440227613386015,0,1,0.9135702615143212,0.4407380293609426,0.30257772394674026,0.9993124444119982,0.3351670705115185,97.98010232628903,0.10102551095878742,0.3387147080000048,ok
n_tps=2 (worst),n_tps,0.6,0.6,0.5167796610169493,0.26582278481012656,-0.0832203389830507,-0.3341772151898734,0.3962808973544998,0.5636073743964265,0.028655362202316945,0.9426194003718467,0,1,0.9139640381695298,0.41238247843680953,0.27655547020890536,0.9989135340017797,0.28739899205631014,68.59308594699202,0.12074240694691588,0.33504479200000503,ok
n_tps=2 (worst),n_tps,0.6,1.0,0.668813559322034,0.8987341772151899,0.06881355932203403,-0.10126582278481011,0.5937971058534871,0.7695536184969771,0.028046123199588945,0.9421338384428724,1,0,0.9140877152432834,0.22206494189301992,0.1228762836114666,0.9987548176151267,0.24150629157585723,46.37926013730799,0.14683787532863443,0.3446201670000022,ok
n_tps=2 (worst),n_tps,1.0,0.0,0.8208474576271187,0.8481012658227848,-0.17915254237288125,0.8481012658227848,0.7639564018033451,1.0453252339794405,0.01829811186854132,0.9331875903106961,1,0,0.9148894784421547,0.3230040026698967,0.20284569673562053,0.9941092702101433,0.6905678577030155,290.00564695065145,0.05872145023506097,0.3458005419999992,ok
n_tps=2 (worst),n_tps,1.0,0.3,1.0235593220338985,0.02531645569620253,0.023559322033898544,-0.27468354430379743,0.7155020403584597,1.0449704039662397,0.014820164401869028,0.9294074932006401,1,1,0.914587328798771,0.4546207300584255,0.316905483040179,0.9912199076432322,0.6259997135554304,218.54654693076276,0.06764380447225295,0.3491286670000022,ok
n_tps=2 (worst),n_tps,1.0,0.6,1.4289830508474577,0.06329113924050633,0.4289830508474577,-0.5367088607594936,0.8993831635821967,2.5130260877391555,0.0,0.8828935308622416,1,1,0.8828935308622416,0.27341343156012193,0.1651640969036962,0.9183828903635262,0.5724734088339787,175.3081246847391,0.07552643367629348,0.36187779100000483,ok
n_tps=2 (worst),n_tps,1.0,1.0,1.7837288135593223,0.06329113924050633,0.7837288135593223,-0.9367088607594937,0.8787520298204291,2.8456622238402334,0.0019853564166295596,0.8216654810663421,1,0,0.8196801246497125,0.0862998489558057,0.039596422629756343,0.8672665193062866,0.5138866830116855,138.72064152632146,0.08490425502697989,0.35147716699999876,ok
n_tps=4 (mid),n_tps,0.1,0.0,0.06067796610169492,1.0,-0.03932203389830508,1.0,0.010713747271474955,0.06439356636893076,0.03721184960508712,0.948937912311053,0,0,0.9117260627059658,0.2477165701829589,0.14096666234749278,0.9999946648235503,0.2146324865965302,167.26664971366114,0.07732061877019487,0.6996919169999956,ok
n_tps=4 (mid),n_tps,0.1,0.3,0.11135593220338984,0.0,0.011355932203389832,-0.3,0.023724407699116833,0.10828371264814347,0.030855339127789476,0.9430581524190874,1,1,0.9122028132912979,0.44364552100001087,0.3053094524512512,0.9992342040821937,0.17010170280947295,100.88976762246898,0.09955806316983884,0.6604267080000028,ok
n_tps=4 (mid),n_tps,0.1,0.6,0.11135593220338984,0.0,0.011355932203389832,-0.6,0.06256333090643725,0.10881603851311952,0.03334586023169623,0.9439435486014203,1,1,0.910597688369724,0.42079005307057105,0.28407654976823704,0.9995559638077061,0.14087394172123113,67.42956265961757,0.12177968000646971,0.6617272500000055,ok
n_tps=4 (mid),n_tps,0.1,1.0,0.11135593220338984,0.0,0.011355932203389832,-1.0,0.017933912862822057,0.10763342625076192,0.024741890202220257,0.9382813293347965,1,0,0.9135394391325762,0.2114145377662238,0.11553372464725808,0.9973382234194006,0.1146154986379124,43.628820047482975,0.15139560444567662,0.6592562909999984,ok
n_tps=4 (mid),n_tps,0.3,0.0,0.26338983050847464,0.46835443037974683,-0.036610169491525346,0.46835443037974683,0.1830171466047279,0.30181623485859677,0.02998552692801506,0.9434706184850322,1,0,0.9134850915570172,0.2722233840083573,0.1602893136744187,0.999208396458727,0.6231113438085356,438.4738375656624,0.04775602350651051,0.6693612500000015,ok
n_tps=4 (mid),n_tps,0.3,0.3,0.4154237288135594,0.0,0.11542372881355939,-0.3,0.31753435446575,0.40628191947466086,0.00745126516459705,0.845584403498253,0,1,0.838133138333656,0.4016513483045911,0.26415067052057173,0.9709084660731073,0.5535669729584412,301.0474948390074,0.057634494871615614,0.6578245840000037,ok
