s,h,vaf0,delta_t,rho,identifiable
0.28,0.6,0.01,5.0,0.37957609249288127,0
0.28,0.6,0.01,6.63,0.7063769294840688,1
0.28,0.6,0.03,0.6,0.044352648283717024,0
0.28,0.6,0.03,1.5,0.08995237695704893,0
0.28,0.6,0.03,3.0,0.2584162306844456,0
0.28,0.6,0.03,5.0,0.6515327595136848,1
0.28,0.6,0.03,6.63,0.8802693658743059,1
0.28,0.6,0.05,0.6,0.07306578229884458,0
0.28,0.6,0.05,1.5,0.1437456024632055,0
0.28,0.6,0.05,3.0,0.3717953460223847,0
0.28,0.6,0.05,5.0,0.7605099933968176,1
0.28,0.6,0.05,6.63,0.9258538029700119,1
0.28,0.6,0.1,0.6,0.14202338789237606,0
0.28,0.6,0.1,1.5,0.26065150654703184,0
0.28,0.6,0.1,3.0,0.5541406290372465,1
0.28,0.6,0.1,5.0,0.8695986642696035,1
0.28,0.6,0.1,6.63,0.963265577856066,1
0.28,0.6,0.15,0.6,0.20720982047274078,0
0.28,0.6,0.15,1.5,0.3575929771540384,0
0.28,0.6,0.15,3.0,0.6624370022499761,1
0.28,0.6,0.15,5.0,0.9132653732716137,1
0.28,0.6,0.15,6.63,0.9764172227541272,1
0.28,0.8,0.01,0.6,0.012669436227557621,0
0.28,0.8,0.01,1.5,0.026601850783032496,0
0.28,0.8,0.01,3.0,0.08787895062794127,0
0.28,0.8,0.01,5.0,0.3407817535654987,0
0.28,0.8,0.01,6.63,0.6702658267131661,1
0.28,0.8,0.03,0.6,0.037630818071882975,0
0.28,0.8,0.03,1.5,0.07687564787027656,0
0.28,0.8,0.03,3.0,0.22695687796757064,0
0.28,0.8,0.03,5.0,0.6116908488361757,1
0.28,0.8,0.03,6.63,0.8610005542220481,1
0.28,0.8,0.05,0.6,0.06210125339681782,0
0.28,0.8,0.05,1.5,0.12358876060523345,0
0.28,0.8,0.05,3.0,0.3320615190382504,0
0.28,0.8,0.05,5.0,0.727331220301083,1
0.28,0.8,0.05,6.63,0.9129599912759843,1
0.28,0.8,0.1,0.6,0.12122222167875633,0
0.28,0.8,0.1,1.5,0.22707412421842316,0
0.28,0.8,0.1,3.0,0.5087724372685022,1
0.28,0.8,0.1,5.0,0.8474957487373669,1
0.28,0.8,0.1,6.63,0.9562401916816203,1
0.28,0.8,0.15,0.6,0.1775724166649701,0
0.28,0.8,0.15,1.5,0.31499229087963515,0
0.28,0.8,0.15,3.0,0.618483891418929,1
0.28,0.8,0.15,5.0,0.8968882640506657,1
0.28,0.8,0.15,6.63,0.9715934601972056,1
0.28,1.0,0.01,0.6,0.010987526097844555,0
0.28,1.0,0.01,1.5,0.023113664941797358,0
0.28,1.0,0.01,3.0,0.07699129473001087,0
0.28,1.0,0.01,5.0,0.3091819992444113,0
0.28,1.0,0.01,6.63,0.637667270102423,1
